switch_step,handoff_end,relaunch_min_ships,relaunch_threat_frac,relaunch_prod_mult,relaunch_prod_add,crush_prod_ratio,aggressive_prod_ratio,aggressive_ship_ratio,defend_prod_frac,matches,main_avg,main_wins,main_losses,main_median,agent_02_avg,agent_02_wins,agent_03_avg,agent_03_wins,agent_04_avg,agent_04_wins,all_done,index
45,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,20,0.0,10,10,0.0,-0.5,5,-0.5,5,-1.0,0,True,2
45,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,20,-0.3,7,13,-1.0,-0.5,5,-0.2,8,-1.0,0,True,11
45,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,20,-0.4,6,14,-1.0,-0.2,8,-0.4,6,-1.0,0,True,0
45,95,70,0.2,1.2,4,3.2,1.6,2.0,0.6,20,-0.4,6,14,-1.0,0.0,10,-0.6,4,-1.0,0,True,3
55,95,70,0.2,1.2,4,3.2,1.6,2.0,0.6,20,-0.4,6,14,-1.0,-0.6,4,0.0,10,-1.0,0,True,15
45,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,20,-0.5,5,15,-1.0,-0.6,4,0.1,11,-1.0,0,True,4
45,110,90,0.18,1.05,3,3.2,1.6,2.0,0.6,20,-0.5,5,15,-1.0,-0.3,7,-0.2,8,-1.0,0,True,6
45,125,110,0.3,1.4,6,3.2,1.6,2.0,0.6,20,-0.5,5,15,-1.0,0.3,13,-0.8,2,-1.0,0,True,9
55,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,20,-0.5,5,15,-1.0,-0.4,6,-0.1,9,-1.0,0,True,13
45,95,70,0.2,1.2,4,5.0,2.5,3.2,0.82,20,-0.6,4,16,-1.0,-0.2,8,-0.2,8,-1.0,0,True,5
45,110,90,0.18,1.05,3,4.0,2.0,2.5,0.7,20,-0.6,4,16,-1.0,-0.4,6,0.0,10,-1.0,0,True,7
55,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,20,-0.6,4,16,-1.0,-0.2,8,-0.2,8,-1.0,0,True,12
45,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,20,-0.7,3,17,-1.0,0.2,12,-0.5,5,-1.0,0,True,8
45,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,20,-0.7,3,17,-1.0,-0.4,6,0.1,11,-1.0,0,True,10
55,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,20,-0.7,3,17,-1.0,0.1,11,-0.4,6,-1.0,0,True,14
45,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,20,-0.8,2,18,-1.0,-0.1,9,-0.1,9,-1.0,0,True,1
