switch_step,handoff_end,relaunch_min_ships,relaunch_threat_frac,relaunch_prod_mult,relaunch_prod_add,other_prod_weight,other_ship_weight,crush_prod_ratio,aggressive_prod_ratio,aggressive_ship_ratio,defend_leader_frac,dominate_leader_mult,leader_score_bonus,leader_gap_bonus,nonleader_penalty,nonleader_penalty_trigger,matches,main_avg,main_wins,main_losses,main_median,agent_02_avg,agent_02_wins,agent_03_avg,agent_03_wins,agent_04_avg,agent_04_wins,all_done,index
70,95,70,0.2,1.2,4,0.3,0.25,4.0,2.0,2.5,0.68,1.05,18.0,1.2,24.0,1.05,10,0.0,5,5,0.0,-0.8,1,-0.6,2,-0.6,2,True,26
65,95,80,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.2,4,6,-1.0,-0.8,1,-0.8,1,-0.2,4,True,6
65,105,70,0.2,1.05,3,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.2,4,6,-1.0,-0.8,1,-0.8,1,-0.2,4,True,38
65,95,80,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,24.0,1.5,24.0,1.05,10,-0.2,4,6,-1.0,-0.8,1,-0.6,2,-0.4,3,True,46
60,95,70,0.24,1.2,4,0.4,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.2,4,6,-1.0,-0.8,1,-1.0,0,0.0,5,True,54
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.4,3,-0.6,2,-0.6,2,True,0
60,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.6,2,-0.8,1,-0.2,4,True,1
65,95,70,0.2,1.05,3,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.8,1,-1.0,0,0.2,6,True,10
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.68,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.8,1,-1.0,0,0.2,6,True,15
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.25,2.8,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.8,1,-0.8,1,0.0,5,True,20
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,12.0,0.9,24.0,1.05,10,-0.4,3,7,-1.0,-0.8,1,-0.6,2,-0.2,4,True,21
70,105,80,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.6,2,-0.8,1,-0.2,4,True,27
60,85,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.2,4,-0.8,1,-0.6,2,True,28
65,95,70,0.16,1.2,4,0.35,0.25,4.0,2.0,2.5,0.82,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.4,3,-1.0,0,-0.2,4,True,34
65,95,70,0.2,1.2,4,0.4,0.25,4.0,2.0,2.5,0.75,1.05,24.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.6,2,-1.0,0,0.0,5,True,36
65,95,70,0.2,1.2,4,0.3,0.25,4.0,2.0,2.5,0.75,1.05,12.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-1.0,0,-0.8,1,0.2,6,True,37
65,85,70,0.2,1.35,5,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.8,1,-0.8,1,0.0,5,True,39
65,95,70,0.2,1.2,4,0.35,0.25,4.8,2.2,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.6,2,-0.8,1,-0.2,4,True,41
75,95,70,0.16,1.2,4,0.4,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.4,3,7,-1.0,-0.6,2,-1.0,0,0.0,5,True,53
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,30.0,1.8,32.0,1.05,10,-0.4,3,7,-1.0,-0.6,2,-0.6,2,-0.4,3,True,55
70,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.6,2,-0.8,1,0.0,5,True,2
65,105,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.8,1,-0.4,3,-0.2,4,True,5
65,95,70,0.2,1.2,4,0.3,0.22,4.0,2.0,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.8,1,-0.6,2,0.0,5,True,12
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,0.98,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.6,2,-0.8,1,0.0,5,True,17
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.12,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.2,4,-0.6,2,-0.4,3,True,18
65,95,70,0.2,1.2,4,0.35,0.25,4.0,1.75,2.2,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.8,1,-1.0,0,0.4,7,True,19
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,16.0,1.1,10,-0.6,2,8,-1.0,-0.6,2,-0.8,1,0.2,6,True,23
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,18.0,1.2,32.0,1.0,10,-0.6,2,8,-1.0,-0.6,2,-0.2,4,-0.6,2,True,24
60,95,70,0.2,1.2,4,0.4,0.25,4.0,2.0,2.5,0.82,1.05,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.4,3,-1.0,0,0.0,5,True,25
65,95,70,0.2,1.2,4,0.3,0.25,4.0,2.25,2.5,0.75,1.12,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.4,3,-0.8,1,-0.2,4,True,31
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,24.0,1.2,32.0,1.05,10,-0.6,2,8,-1.0,-0.2,4,-0.6,2,-0.6,2,True,32
65,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.75,1.05,12.0,1.2,16.0,1.05,10,-0.6,2,8,-1.0,-0.6,2,-0.8,1,0.0,5,True,33
65,95,70,0.2,1.2,4,0.35,0.25,3.4,1.85,2.5,0.75,1.05,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.4,3,-0.8,1,-0.2,4,True,40
70,95,70,0.2,1.2,4,0.4,0.25,4.0,2.0,2.5,0.75,1.05,24.0,1.2,32.0,1.05,10,-0.6,2,8,-1.0,-0.8,1,-0.4,3,-0.2,4,True,42
75,95,70,0.2,1.2,4,0.35,0.25,4.0,2.0,2.5,0.82,0.98,18.0,1.2,24.0,1.05,10,-0.6,2,8,-1.0,-0.8,1,-0.6,2,0.0,5,True,44
