index,switch_step,open_force_until,open_stop_planets,open_stop_prod_frac,open_air_frac,open_ground_floor,open_panic_step,open_panic_prod_frac,open_panic_ground,early_rounds,early_look_ahead,max_distance,rotation_look_ahead,reinforcement_size,garrison_size,matches,main_avg,main_wins,main_losses,main_median,all_done,agent_04_avg,agent_04_wins,hellburner_ref_avg,hellburner_ref_wins,agent_03_avg,agent_03_wins
23,55,18,4,0.9,0.45,18,42,0.75,55,3,33,38,10,13,9,10,0.4,7,3,1.0,True,-1.0,0,-1.0,0,-0.4,3
37,55,18,4,0.9,0.45,18,42,0.75,55,3,28,34,6,17,11,10,0.4,7,3,1.0,True,-1.0,0,-0.4,3,-1.0,0
50,55,18,4,0.9,0.45,18,42,0.75,55,3,33,40,12,17,13,10,0.4,7,3,1.0,True,-0.8,1,-0.6,2,-1.0,0
2,60,18,4,0.9,0.45,18,42,0.75,55,3,33,38,10,17,11,10,0.2,6,4,1.0,True,-1.0,0,-0.2,4,-1.0,0
20,55,18,4,0.9,0.45,18,42,0.75,55,3,33,46,10,17,11,10,0.2,6,4,1.0,True,-1.0,0,-0.2,4,-1.0,0
28,60,18,4,0.9,0.45,18,42,0.75,55,4,33,42,10,17,11,10,0.2,6,4,1.0,True,-0.8,1,-0.4,3,-1.0,0
33,55,18,3,0.75,0.45,18,42,0.75,55,2,33,38,10,17,11,10,0.2,6,4,1.0,True,-0.8,1,-0.4,3,-1.0,0
36,65,18,4,0.9,0.45,18,50,0.75,55,3,33,34,10,17,11,10,0.2,6,4,1.0,True,-0.6,2,-0.6,2,-1.0,0
41,55,22,4,0.9,0.45,18,42,0.75,55,2,33,38,10,17,11,10,0.2,6,4,1.0,True,-1.0,0,-0.4,3,-0.8,1
43,60,18,3,0.85,0.45,18,42,0.75,55,3,33,38,10,17,11,10,0.2,6,4,1.0,True,-0.8,1,-0.6,2,-0.8,1
54,75,18,5,0.9,0.6,18,42,0.75,55,3,33,34,10,17,11,10,0.2,6,4,1.0,True,-1.0,0,-0.2,4,-1.0,0
1,50,18,4,0.9,0.45,18,42,0.75,55,3,33,38,10,17,11,10,0.0,5,5,0.0,True,-0.8,1,-0.4,3,-0.8,1
13,55,18,4,0.9,0.45,18,50,0.7,45,3,33,38,10,17,11,10,0.0,5,5,0.0,True,-1.0,0,-0.2,4,-0.8,1
14,55,18,4,0.9,0.45,18,42,0.75,55,2,33,38,10,17,11,10,0.0,5,5,0.0,True,-1.0,0,0.0,5,-1.0,0
17,55,18,4,0.9,0.45,18,42,0.75,55,3,40,38,10,17,11,10,0.0,5,5,0.0,True,-1.0,0,0.0,5,-1.0,0
19,55,18,4,0.9,0.45,18,42,0.75,55,3,33,42,10,17,11,10,0.0,5,5,0.0,True,-0.8,1,-0.2,4,-1.0,0
22,55,18,4,0.9,0.45,18,42,0.75,55,3,33,38,14,17,11,10,0.0,5,5,0.0,True,-0.8,1,-0.6,2,-0.6,2
27,60,18,4,0.9,0.45,18,42,0.75,55,3,33,34,10,17,11,10,0.0,5,5,0.0,True,-1.0,0,-0.2,4,-0.8,1
