index,search_pick,defense_oversend_4p,leader_ratio,leader_bonus,leader_min_step,focus_enabled,focus_turn,focus_gap,weakest_enabled,hammer_turn,frontier_enabled,frontier_turn_min,frontier_turn_max,frontier_dist,frontier_base,frontier_prod_mult,frontier_frac,pressure_enabled,pressure_turn,pressure_max_moves,pressure_min_avail,pressure_leader_bonus,pressure_enemy_bonus,pressure_neutral_penalty,acc_lead,acc_feed_min,acc_keep,acc_max_feeds,brain_enabled,brain_min,brain_require_target,brain_frontier,brain_frontier_weight,mega_min,mega_thresholds,mega_target_cap,matches,main_avg,main_wins,main_losses,main_median,all_done,hellburner_ref_avg,hellburner_ref_wins,main_plus_main5_ideas_avg,main_plus_main5_ideas_wins,agent_04_avg,agent_04_wins
36,5,0,1.1,12.0,40,True,65,14,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,1.0,3,0,1,True,-1.0,0,-1.0,0,-1.0,0
42,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,85,26,28,3,True,160,True,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,1.0,3,0,1,True,-1.0,0,-1.0,0,-1.0,0
58,5,0,1.15,8.0,40,True,65,12,False,45,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,1.0,3,0,1,True,-1.0,0,-1.0,0,-1.0,0
3,5,0,1.1,10.0,40,True,75,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,0.3333333333333333,2,1,1,True,-1.0,0,-0.3333333333333333,1,-1.0,0
5,5,0,1.1,10.0,40,True,65,14,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,0.3333333333333333,2,1,1,True,-1.0,0,-0.3333333333333333,1,-1.0,0
6,5,0,1.1,8.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,0.3333333333333333,2,1,1,True,-1.0,0,-0.3333333333333333,1,-1.0,0
12,4,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,0.3333333333333333,2,1,1,True,-1.0,0,-0.3333333333333333,1,-1.0,0
22,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,70,22,24,2,True,130,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,0.3333333333333333,2,1,1,True,-1.0,0,-0.3333333333333333,1,-1.0,0
27,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,True,3.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,0.3333333333333333,2,1,1,True,-1.0,0,-1.0,0,-0.3333333333333333,1
28,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,260,"{5: 160, 4: 200, 3: 240, 2: 300, 1: 380}",110,3,0.3333333333333333,2,1,1,True,-1.0,0,-0.3333333333333333,1,-1.0,0
